Image tag,Version,Build date,Tools list
full,3.1.2,2023-12-22T12:20:18Z,:download:`full_3.1.2_arm64.csv       </assets/installed_tools/lists/full_3.1.2_arm64.csv>`
ad,3.1.2,2023-12-22T12:03:46Z,:download:`ad_3.1.2_arm64.csv       </assets/installed_tools/lists/ad_3.1.2_arm64.csv>`
web,3.1.2,2023-12-22T12:08:45Z,:download:`web_3.1.2_arm64.csv       </assets/installed_tools/lists/web_3.1.2_arm64.csv>`
light,3.1.2,2023-12-22T00:48:17Z,:download:`light_3.1.2_arm64.csv       </assets/installed_tools/lists/light_3.1.2_arm64.csv>`
osint,3.1.2,2023-12-22T00:43:53Z,:download:`osint_3.1.2_arm64.csv       </assets/installed_tools/lists/osint_3.1.2_arm64.csv>`
full,3.1.1,2023-08-18T01:36:23Z,:download:`full_3.1.1_arm64.csv     </assets/installed_tools/lists/full_3.1.1_arm64.csv>`
ad,3.1.1,2023-08-18T02:58:49Z,:download:`ad_3.1.1_arm64.csv     </assets/installed_tools/lists/ad_3.1.1_arm64.csv>`
web,3.1.1,2023-08-18T01:08:44Z,:download:`web_3.1.1_arm64.csv     </assets/installed_tools/lists/web_3.1.1_arm64.csv>`
osint,3.1.1,2023-08-18T01:04:50Z,:download:`osint_3.1.1_arm64.csv     </assets/installed_tools/lists/osint_3.1.1_arm64.csv>`
light,3.1.1,2023-08-18T01:05:12Z,:download:`light_3.1.1_arm64.csv     </assets/installed_tools/lists/light_3.1.1_arm64.csv>`
full,3.1.0,2023-08-09T09:12:21Z,:download:`full_3.1.0_arm64.csv     </assets/installed_tools/lists/full_3.1.0_arm64.csv>`
ad,3.1.0,2023-08-10T00:11:36Z,:download:`ad_3.1.0_arm64.csv     </assets/installed_tools/lists/ad_3.1.0_arm64.csv>`
web,3.1.0,2023-08-09T11:11:33Z,:download:`web_3.1.0_arm64.csv     </assets/installed_tools/lists/web_3.1.0_arm64.csv>`
osint,3.1.0,2023-08-09T10:48:56Z,:download:`osint_3.1.0_arm64.csv     </assets/installed_tools/lists/osint_3.1.0_arm64.csv>`
light,3.1.0,2023-08-09T01:50:40Z,:download:`light_3.1.0_arm64.csv     </assets/installed_tools/lists/light_3.1.0_arm64.csv>`
