Image tag,Version,Arch,Build date,Tools list
osint,3.1.2,amd64,2023-12-12T11:24:06Z,:download:`osint_3.1.2_amd64.csv       </assets/installed_tools/lists/osint_3.1.2_amd64.csv>`
web,3.1.2,arm64,2023-12-12T03:34:03Z,:download:`web_3.1.2_arm64.csv       </assets/installed_tools/lists/web_3.1.2_arm64.csv>`
osint,3.1.2,arm64,2023-12-12T03:28:54Z,:download:`osint_3.1.2_arm64.csv       </assets/installed_tools/lists/osint_3.1.2_arm64.csv>`
web,3.1.2,amd64,2023-12-12T03:18:09Z,:download:`web_3.1.2_amd64.csv       </assets/installed_tools/lists/web_3.1.2_amd64.csv>`
ad,3.1.1,amd64,2023-08-18T02:59:03Z,:download:`ad_3.1.1_amd64.csv     </assets/installed_tools/lists/ad_3.1.1_amd64.csv>`
ad,3.1.1,arm64,2023-08-18T02:58:49Z,:download:`ad_3.1.1_arm64.csv     </assets/installed_tools/lists/ad_3.1.1_arm64.csv>`
full,3.1.1,amd64,2023-08-18T01:36:37Z,:download:`full_3.1.1_amd64.csv     </assets/installed_tools/lists/full_3.1.1_amd64.csv>`
full,3.1.1,arm64,2023-08-18T01:36:23Z,:download:`full_3.1.1_arm64.csv     </assets/installed_tools/lists/full_3.1.1_arm64.csv>`
web,3.1.1,amd64,2023-08-18T01:35:14Z,:download:`web_3.1.1_amd64.csv     </assets/installed_tools/lists/web_3.1.1_amd64.csv>`
light,3.1.1,amd64,2023-08-18T01:35:00Z,:download:`light_3.1.1_amd64.csv     </assets/installed_tools/lists/light_3.1.1_amd64.csv>`
osint,3.1.1,amd64,2023-08-18T01:34:47Z,:download:`osint_3.1.1_amd64.csv     </assets/installed_tools/lists/osint_3.1.1_amd64.csv>`
web,3.1.1,arm64,2023-08-18T01:08:44Z,:download:`web_3.1.1_arm64.csv     </assets/installed_tools/lists/web_3.1.1_arm64.csv>`
light,3.1.1,arm64,2023-08-18T01:05:12Z,:download:`light_3.1.1_arm64.csv     </assets/installed_tools/lists/light_3.1.1_arm64.csv>`
osint,3.1.1,arm64,2023-08-18T01:04:50Z,:download:`osint_3.1.1_arm64.csv     </assets/installed_tools/lists/osint_3.1.1_arm64.csv>`
ad,3.1.0,amd64,2023-08-10T00:33:47Z,:download:`ad_3.1.0_amd64.csv     </assets/installed_tools/lists/ad_3.1.0_amd64.csv>`
ad,3.1.0,arm64,2023-08-10T00:11:36Z,:download:`ad_3.1.0_arm64.csv     </assets/installed_tools/lists/ad_3.1.0_arm64.csv>`
web,3.1.0,amd64,2023-08-09T11:12:12Z,:download:`web_3.1.0_amd64.csv     </assets/installed_tools/lists/web_3.1.0_amd64.csv>`
web,3.1.0,arm64,2023-08-09T11:11:33Z,:download:`web_3.1.0_arm64.csv     </assets/installed_tools/lists/web_3.1.0_arm64.csv>`
osint,3.1.0,amd64,2023-08-09T10:50:11Z,:download:`osint_3.1.0_amd64.csv     </assets/installed_tools/lists/osint_3.1.0_amd64.csv>`
osint,3.1.0,arm64,2023-08-09T10:48:56Z,:download:`osint_3.1.0_arm64.csv     </assets/installed_tools/lists/osint_3.1.0_arm64.csv>`
full,3.1.0,arm64,2023-08-09T09:12:21Z,:download:`full_3.1.0_arm64.csv     </assets/installed_tools/lists/full_3.1.0_arm64.csv>`
full,3.1.0,amd64,2023-08-09T22:27:20Z,:download:`full_3.1.0_amd64.csv     </assets/installed_tools/lists/full_3.1.0_amd64.csv>`
light,3.1.0,amd64,2023-08-09T02:53:53Z,:download:`light_3.1.0_amd64.csv     </assets/installed_tools/lists/light_3.1.0_amd64.csv>`
light,3.1.0,arm64,2023-08-09T01:50:40Z,:download:`light_3.1.0_arm64.csv     </assets/installed_tools/lists/light_3.1.0_arm64.csv>`
